repo,last release,plugins,plugins
https://github.com/akanyer/gocd-msbuild-taskplugin/releases,,1,98.77%
https://github.com/benwolstencroft/go-nexus-poller-plugin/releases,,2,97.53%
https://github.com/gocd-contrib/email-notifier/releases,,3,96.30%
https://github.com/Haufe-Lexware/gocd-plugins/releases,,4,95.06%
https://github.com/Haufe-Lexware/gocd-plugins/releases,,5,93.83%
https://github.com/Haufe-Lexware/gocd-plugins/releases,,6,92.59%
https://github.com/Haufe-Lexware/gocd-plugins/releases,,7,91.36%
https://github.com/MidVision/go-rapiddeploy/releases/,,8,90.12%
https://github.com/MidVision/go-rapiddeploy/releases/,,9,88.89%
https://github.com/MidVision/go-rapiddeploy/releases/,,10,87.65%
https://github.com/PagerDuty/gocd-hipchat-plugin/releases,,11,86.42%
https://github.com/ReviakinAleksey/diawi-upload-plugin/tree/master/dist,,12,85.19%
https://github.com/ruckc/gocd-maven-plugin/releases,,13,83.95%
https://github.com/Sounie/springer-gocd-cloudfoundry-plugin/releases/,,14,82.72%
https://github.com/tispr/gocd-opsworks-plugin/releases,,15,81.48%
https://github.com/tusharm/go-artifactory-plugin/releases,,16,80.25%
https://github.com/manojlds/gocd-powershell-runner/releases,2014-08-02,17,79.01%
https://github.com/gocd-contrib/gem-repo-poller/releases,2014-12-18,18,77.78%
https://github.com/4finance/go-plugin-groovy/releases,2015-02-05,19,76.54%
https://github.com/rjgarciap/ApacheBrooklyn-Task-Plugin/releases,2015-05-19,20,75.31%
https://github.com/rsr5/gocd-riemann-notifier/releases,2015-06-12,21,74.07%
https://github.com/schibsted/gocd-s3-poller/releases,2015-07-09,22,72.84%
https://github.com/jmnarloch/gocd-health-check-plugin/releases,2016-04-24,23,71.60%
https://github.com/insano10/gocd-pr-comment-scalastyle/releases,2016-05-07,24,70.37%
https://github.com/manojlds/gocd-docker/releases,2016-05-22,25,69.14%
https://github.com/jmnarloch/gocd-sbt-plugin/releases,2016-07-18,26,67.90%
https://github.com/jmnarloch/gocd-gradle-plugin/releases,2016-07-18,27,66.67%
https://github.com/bdpiparva/bitkeeper-repo-poller/releases,2016-09-22,28,65.43%
https://github.com/matt-richardson/gocd-websocket-notifier/releases,2016-10-10,29,64.20%
https://github.com/gocd-contrib/script-executor-task/releases,2016-11-16,30,62.96%
https://github.com/gocd-contrib/gitter-activity-feed-plugin/releases,2016-11-29,31,61.73%
https://github.com/ashwanthkumar/gocd-slack-build-notifier/releases,2016-12-08,32,60.49%
https://github.com/varchev/go-generic-artifactory-poller/releases,2016-12-20,33,59.26%
https://github.com/varchev/go-npm-poller/releases,2016-12-20,34,58.02%
https://github.com/TWChennai/gocd-git-path-material-plugin/releases,2017-01-23,35,56.79%
https://github.com/pikselpalette/gocd-elastic-agent-marathon/releases,2017-02-10,36,55.56%
https://github.com/gocd-contrib/gitter-notifier/releases,2017-03-26,37,54.32%
https://github.com/gocd-contrib/deb-repo-poller/releases,2017-03-27,38,53.09%
https://github.com/eaiesb/Gocd-Artifactory-Plugin/releases,2017-05-08,39,51.85%
https://github.com/1and1/go-maven-poller/releases,2017-05-18,40,50.62%
https://github.com/cnenning/go-artifactory-scm-plugin/releases,2017-05-31,41,49.38%
https://github.com/cnenning/go-artifactory-scm-plugin/releases,2017-05-31,42,48.15%
https://github.com/paullalonde/gocd-sns-notification-plugin/releases,2017-06-11,43,46.91%
https://github.com/gocd-contrib/xunit-converter-task/releases,2017-06-13,44,45.68%
https://github.com/mgambini/crowd-integration-plugin/releases,2017-07-04,45,44.44%
https://github.com/cnorthwood/gocd-tls-auth/releases,2017-09-05,46,43.21%
https://github.com/kszatan/gocd-phabricator-staging-material/releases,2017-09-25,47,41.98%
https://github.com/gocd-contrib/google-oauth-authorization-plugin/releases,2017-10-03,48,40.74%
https://github.com/gocd-contrib/gitlab-oauth-authorization-plugin/releases,2017-10-05,49,39.51%
https://github.com/tomzo/gocd-json-config-plugin/releases,2017-10-24,50,38.27%
https://bintray.com/gmazzo/maven/gocd-build-watcher-plugin/_latestVersion,2017-10-26,51,37.04%
https://github.com/gocd-contrib/gocd-build-status-notifier/releases,2017-11-15,52,35.80%
https://github.com/gocd-contrib/gocd-build-status-notifier/releases,2017-11-15,53,34.57%
https://github.com/gocd-contrib/gocd-build-status-notifier/releases,2017-11-15,54,33.33%
https://github.com/t04glovern/gocd-spark-build-notifier/releases,2017-12-08,55,32.10%
https://github.com/cma-arnold/gocd-docker-exec-plugin/releases,2018-01-24,56,30.86%
https://github.com/szamfirov/gocd-okta-oauth-authorization-plugin/releases,2018-03-12,57,29.63%
https://github.com/tomzo/gocd-yaml-config-plugin/releases,2018-03-13,58,28.40%
https://github.com/MicroFocus/octane-gocd-plugin/releases,2018-03-28,59,27.16%
https://github.com/gocd-contrib/guest-login-plugin/releases,2018-05-17,60,25.93%
https://github.com/kszatan/gocd-b2-artifacts/releases,2018-06-06,61,24.69%
https://github.com/kszatan/gocd-b2-artifacts/releases,2018-06-06,62,23.46%
https://github.com/kszatan/gocd-b2-artifacts/releases,2018-06-06,63,22.22%
https://github.com/ashwanthkumar/gocd-build-github-pull-requests/releases,2018-08-02,64,20.99%
https://github.com/ashwanthkumar/gocd-build-github-pull-requests/releases,2018-08-02,65,19.75%
https://github.com/ashwanthkumar/gocd-build-github-pull-requests/releases,2018-08-02,66,18.52%
https://github.com/ashwanthkumar/gocd-build-github-pull-requests/releases,2018-08-02,67,17.28%
https://github.com/gocd-contrib/github-oauth-authorization-plugin/releases,2018-08-29,68,16.05%
https://github.com/Vincit/gocd-slack-task/releases,2018-08-29,69,14.81%
https://github.com/Diogomrol/gocd-s3-artifact-plugin/releases,2018-08-31,70,13.58%
