Number of plugins,Installations
0.06%,215841
0.13%,215673
0.19%,215299
0.25%,213227
0.32%,212925
0.38%,212274
0.44%,210185
0.51%,207304
0.57%,204657
0.63%,204625
0.69%,204171
0.76%,203022
0.82%,202015
0.88%,200420
0.95%,199113
1.01%,198619
1.07%,198274
1.14%,197833
1.20%,197246
1.26%,195800
1.33%,192865
1.39%,192759
1.45%,189421
1.52%,188214
1.58%,186082
1.64%,185941
1.71%,184066
1.77%,183134
1.83%,182925
1.90%,182471
1.96%,181481
2.02%,181113
2.08%,180873
2.15%,180812
2.21%,178785
2.27%,178682
2.34%,178092
2.40%,176617
2.46%,176482
2.53%,176216
2.59%,176130
2.65%,175700
2.72%,175328
2.78%,175298
2.84%,175214
2.91%,175072
2.97%,173717
3.03%,173108
3.10%,172777
3.16%,172553
3.22%,172222
3.28%,171849
3.35%,171178
3.41%,170285
3.47%,169282
3.54%,168458
3.60%,168150
3.66%,168033
3.73%,168030
3.79%,167911
3.85%,166140
3.92%,166096
3.98%,165774
4.04%,165245
4.11%,161407
4.17%,158461
4.23%,157950
4.30%,156222
4.36%,155702
4.42%,154508
4.49%,151675
4.55%,149608
4.61%,149144
4.67%,145487
4.74%,138459
4.80%,135023
4.86%,89754
4.93%,85782
4.99%,78766
5.05%,78034
5.12%,76369
5.18%,76231
5.24%,69986
5.31%,64250
5.37%,59913
5.43%,56549
5.50%,54809
5.56%,52610
5.62%,48812
5.69%,48798
5.75%,47833
5.81%,47204
5.87%,45664
5.94%,44381
6.00%,44255
6.06%,43585
6.13%,43178
6.19%,42996
6.25%,42835
6.32%,41869
6.38%,41668
6.44%,41460
6.51%,41449
6.57%,41133
6.63%,41098
6.70%,40770
6.76%,40181
6.82%,40151
6.89%,39573
6.95%,39557
7.01%,39531
7.08%,39360
7.14%,39207
7.20%,39044
7.26%,38990
7.33%,38954
7.39%,38868
7.45%,38857
7.52%,38782
7.58%,38755
7.64%,38446
7.71%,38106
7.77%,37585
7.83%,37416
7.90%,37230
7.96%,36904
8.02%,36848
8.09%,35346
8.15%,33493
8.21%,32771
8.28%,32494
8.34%,31687
8.40%,31399
8.46%,31352
8.53%,30804
8.59%,28302
8.65%,28203
8.72%,26979
8.78%,26889
8.84%,24394
8.91%,23178
8.97%,22138
9.03%,22054
9.10%,21774
9.16%,20799
9.22%,20765
9.29%,20669
9.35%,20498
9.41%,20016
9.48%,20012
9.54%,19927
9.60%,19831
9.67%,19013
9.73%,18869
9.79%,18626
9.85%,18100
9.92%,17895
9.98%,17658
10.04%,17548
10.11%,17014
10.17%,16962
10.23%,16205
10.30%,15926
10.36%,15687
10.42%,15667
10.49%,15587
10.55%,15576
10.61%,15227
10.68%,15082
10.74%,14841
10.80%,14791
10.87%,14447
10.93%,14266
10.99%,13886
11.05%,13760
11.12%,13362
11.18%,13191
11.24%,12789
11.31%,12625
11.37%,12474
11.43%,12344
11.50%,12208
11.56%,12113
11.62%,12020
11.69%,11984
11.75%,11832
11.81%,11752
11.88%,11719
11.94%,10948
12.00%,10894
12.07%,10856
12.13%,10808
12.19%,10804
12.26%,10485
12.32%,10341
12.38%,10337
12.44%,10161
12.51%,10139
12.57%,9822
12.63%,9812
12.70%,9758
12.76%,9691
12.82%,9623
12.89%,9414
12.95%,9344
13.01%,9270
13.08%,9228
13.14%,9083
13.20%,8927
13.27%,8890
13.33%,8819
13.39%,8525
13.46%,8421
13.52%,8392
13.58%,8214
13.64%,8187
13.71%,8119
13.77%,8016
13.83%,8000
13.90%,7861
13.96%,7817
14.02%,7743
14.09%,7734
14.15%,7681
14.21%,7597
14.28%,7591
14.34%,7555
14.40%,7365
14.47%,7346
14.53%,7310
14.59%,7275
14.66%,7207
14.72%,7126
14.78%,7090
14.85%,7002
14.91%,6899
14.97%,6602
15.03%,6567
15.10%,6539
15.16%,6511
15.22%,6426
15.29%,6093
15.35%,6085
15.41%,6067
15.48%,6053
15.54%,6021
15.60%,5956
15.67%,5914
15.73%,5852
15.79%,5850
15.86%,5773
15.92%,5718
15.98%,5623
16.05%,5484
16.11%,5426
16.17%,5400
16.23%,5280
16.30%,5257
16.36%,5243
16.42%,5212
16.49%,5209
16.55%,5161
16.61%,5156
16.68%,5113
16.74%,5040
16.80%,5027
16.87%,5000
16.93%,4887
16.99%,4829
17.06%,4810
17.12%,4793
17.18%,4749
17.25%,4666
17.31%,4655
17.37%,4655
17.44%,4649
17.50%,4622
17.56%,4587
17.62%,4567
17.69%,4565
17.75%,4555
17.81%,4534
17.88%,4524
17.94%,4471
18.00%,4460
18.07%,4408
18.13%,4374
18.19%,4361
18.26%,4333
18.32%,4303
18.38%,4211
18.45%,4200
18.51%,4198
18.57%,4185
18.64%,4134
18.70%,4127
18.76%,4102
18.83%,4095
18.89%,4077
18.95%,4069
19.01%,4043
19.08%,3983
19.14%,3980
19.20%,3943
19.27%,3935
19.33%,3927
19.39%,3894
19.46%,3851
19.52%,3851
19.58%,3830
19.65%,3824
19.71%,3817
19.77%,3800
19.84%,3798
19.90%,3792
19.96%,3778
20.03%,3752
20.09%,3737
20.15%,3719
20.21%,3656
20.28%,3645
20.34%,3621
20.40%,3575
20.47%,3572
20.53%,3569
20.59%,3536
20.66%,3518
20.72%,3508
20.78%,3472
